country;year;Population_total;Life_expectancy_at_birth_total_(years)
Afghanistan;2021;40099462;61.982
Albania;2021;2811666;76.463
Algeria;2021;44177969;76.377
American Samoa;2021;45035;
Angola;2021;34503774;61.643
Armenia;2021;2790974;72.043
Aruba;2021;106537;74.626
Australia;2021;25685412;83.3
Austria;2021;8955797;81.2390243902439
Azerbaijan;2021;10137750;69.366
Bahamas;2021;407906;71.598
Bahrain;2021;1463265;78.76
Bangladesh;2021;169356251;72.381
Barbados;2021;281200;77.571
Belarus;2021;9302585;72.3706829268293
Belgium;2021;11586195;81.890243902439
Belize;2021;400031;70.47
Benin;2021;12996895;59.821
Bermuda;2021;63764;79.28
Bhutan;2021;777486;71.815
Bosnia and Herzegovina;2021;3270943;75.3
Botswana;2021;2588423;61.141
Brazil;2021;214326223;72.75
Brunei;2021;445373;74.642
Bulgaria;2021;6877743;71.5146341463415
Burkina Faso;2021;22100683;59.27
Burundi;2021;12551213;61.663
Cape Verde;2021;587925;74.052
Cambodia;2021;16589023;69.584
Cameroon;2021;27198628;60.333
Canada;2021;38226498;82.5966097560976
Central African Republic;2021;5457154;53.895
Chad;2021;17179740;52.525
Chile;2021;19493184;78.944
China;2021;1412360000;78.211
Colombia;2021;51516562;72.83
Comoros;2021;821625;63.417
Congo;2021;5835806;63.519
Costa Rica;2021;5153957;77.023
Ivory Coast;2021;27478249;58.598
Croatia;2021;3879000;76.4243902439025
Cuba;2021;11256372;73.683
Cyprus;2021;1244188;81.203
Czech Republic;2021;10505772;77.3731707317073
Denmark;2021;5856733;81.4048780487805
Djibouti;2021;1105557;62.305
Dominica;2021;72412;72.814
Dominican Republic;2021;11117873;72.615
Ecuador;2021;17797737;73.67
Egypt;2021;109262178;70.221
El Salvador;2021;6314167;70.748
Equatorial Guinea;2021;1634466;60.594
Eritrea;2021;3620312;66.536
Estonia;2021;1330932;76.7414634146342
Swaziland;2021;1192271;57.066
Ethiopia;2021;120283026;64.975
Faroe Islands;2021;52889;83.4975609756098
Fiji;2021;924610;67.114
Finland;2021;5541017;81.9341463414634
France;2021;67764304;82.3243902439024
French Polynesia;2021;304032;79.486
Gabon;2021;2341179;65.821
Gambia;2021;2639916;62.083
Georgia;2021;3708610;71.694
Germany;2021;83196078;80.9009756097561
Ghana;2021;32833031;63.795
Gibraltar;2021;32669;79.329
Greece;2021;10569207;80.1829268292683
Greenland;2021;56653;71.1475609756098
Grenada;2021;124610;74.936
Guam;2021;170534;76.656
Guatemala;2021;17109746;69.237
Guinea;2021;13531906;58.892
Guinea-Bissau;2021;2060721;59.652
Guyana;2021;804567;65.673
Haiti;2021;11447569;63.192
Honduras;2021;10278345;70.123
Hong Kong;2021;7413100;85.4926829268293
Hungary;2021;9709891;74.4658536585366
Iceland;2021;372520;83.1170731707317
India;2021;1407563842;67.24
Indonesia;2021;273753191;67.57
Iraq;2021;43533592;70.378
Ireland;2021;5033164;82.1024390243903
Isle of Man;2021;84263;80.525
Israel;2021;9371400;82.5
Italy;2021;59133173;82.7951219512195
Jamaica;2021;2827695;70.5
Japan;2021;125681593;84.4456097560976
Jordan;2021;11148278;74.256
Kazakhstan;2021;19000988;70.23
Kenya;2021;53005614;61.427
Kiribati;2021;128874;67.417
South Korea;2021;51744876;83.5268292682927
Kuwait;2021;4250114;78.673
Kyrgyzstan;2021;6773400;71.9
Lao People's Democratic Republic;2021;7425057;68.061
Latvia;2021;1884490;73.2829268292683
Lebanon;2021;5592631;75.047
Lesotho;2021;2281454;53.062
Liberia;2021;5193416;60.747
Libyan Arab Jamahiriya;2021;6735277;71.911
Liechtenstein;2021;39039;84.4024390243902
Lithuania;2021;2800839;74.3390243902439
Luxembourg;2021;640064;82.7487804878049
Macao;2021;686607;85.399
Madagascar;2021;28915653;64.485
Malawi;2021;19889742;62.904
Malaysia;2021;33573874;74.884
Maldives;2021;521457;79.918
Mali;2021;21904983;58.941
Malta;2021;518536;82.8609756097561
Marshall Islands;2021;42050;65.269
Mauritania;2021;4614974;64.364
Mauritius;2021;1266334;73.680243902439
Mexico;2021;126705138;70.213
Monaco;2021;36686;
Mongolia;2021;3347782;70.975
Montenegro;2021;619211;73.8243902439024
Morocco;2021;37076584;74.042
Mozambique;2021;32077072;59.325
Burma;2021;53798084;65.672
Nauru;2021;12511;63.617
Nepal;2021;30034989;68.45
Netherlands;2021;17533044;81.4609756097561
New Caledonia;2021;270390;79.1273414634146
New Zealand;2021;5111400;82.2073170731707
Nicaragua;2021;6850540;73.837
Niger;2021;25252722;61.576
Nigeria;2021;213401323;52.676
Northern Mariana Islands;2021;49481;
Norway;2021;5408320;83.1634146341463
Oman;2021;4520471;72.541
Pakistan;2021;231402117;66.098
Palau;2021;18024;
Panama;2021;4351267;76.223
Papua New Guinea;2021;9949437;65.351
Paraguay;2021;6703799;70.262
Peru;2021;33715471;72.377
Philippines;2021;113880328;69.266
Poland;2021;37747124;75.6024390243903
Portugal;2021;10361831;81.0731707317073
Puerto Rico;2021;3262693;80.162
Qatar;2021;2688235;79.272
Romania;2021;19122059;72.9609756097561
Russia;2021;144130482;69.3612195121951
Rwanda;2021;13461888;66.072
Samoa;2021;218764;72.767
San Marino;2021;33745;
Sao Tome and Principe;2021;223107;67.591
Saudi Arabia;2021;35950396;76.936
Senegal;2021;16876720;67.093
Serbia;2021;6834326;72.7307317073171
Seychelles;2021;99258;73.3975609756097
Sierra Leone;2021;8420641;60.062
Singapore;2021;5453566;83.4414634146342
Slovakia;2021;5447247;74.7146341463415
Slovenia;2021;2108079;80.8756097560976
Solomon Islands;2021;707851;70.348
Somalia;2021;17065581;55.28
South Africa;2021;59392255;62.341
South Sudan;2021;10748272;54.975
Spain;2021;47415794;83.1780487804878
Sri Lanka;2021;22156000;76.399
Saint Kitts and Nevis;2021;47606;71.682
Saint Lucia;2021;179651;71.111
Saint Vincent and the Grenadines;2021;104332;69.629
Sudan;2021;45657202;65.267
Suriname;2021;612985;70.274
Sweden;2021;10415811;83.1560975609756
Switzerland;2021;8704546;83.8512195121951
Syrian Arab Republic;2021;21324367;72.063
Tajikistan;2021;9750064;71.594
Thailand;2021;71601103;78.715
Timor-Leste;2021;1320942;67.737
Togo;2021;8644829;61.619
Tonga;2021;106017;70.986
Trinidad and Tobago;2021;1525663;72.971
Tunisia;2021;12262946;73.772
Turkey;2021;84147318;76.032
Turkmenistan;2021;6341855;69.264
Turks and Caicos Islands;2021;45114;74.587
Tuvalu;2021;11204;64.547
Uganda;2021;45853778;62.705
Ukraine;2021;43822901;69.6478048780488
United Arab Emirates;2021;9365145;78.71
United Kingdom;2021;67026292;80.7
United States;2021;332031554;76.3292682926829
Uruguay;2021;3426260;75.436
Uzbekistan;2021;34915100;70.862
Vanuatu;2021;319137;70.449
Viet Nam;2021;97468029;73.618
Yemen;2021;32981641;63.753
Zambia;2021;19473125;61.223
Zimbabwe;2021;15993524;59.253
